"Count","Edition","Collector Number","Name","Foil"
"3","FDN","60","Gutless Plunderer",""
"3","FDN","162","Run Away Together",""
"3","FDN","12","Felidar Savior",""
"3","FDN","68","Sanguine Syphoner",""
"3","FDN","42","Icewind Elemental",""
"3","FDN","71","Stab",""
"3","FDN","203","Involuntary Employment",""
"3","FDN","28","Vanguard Seraph",""
"3","FDN","36","Elementalist Adept",""
"3","FDN","235","Wary Thespian",""
"3","FDN","52","Strix Lookout",""
"3","FDN","16","Helpful Hunter",""
"3","FDN","95","Sower of Chaos",""
"3","FDN","170","Burglar Rat",""
"3","FDN","262","Evolving Wilds",""
"3","FDN","103","Elfsworn Giant",""
"3","FDN","62","Hungry Ghoul",""
"3","FDN","196","Firebrand Archer",""
"3","FDN","9","Dazzling Angel",""
"3","FDN","56","Billowing Shriekmass",""
"3","FDN","101","Cackling Prowler",""
"3","FDN","15","Hare Apparent",""
"3","FDN","169","Bake into a Pie",""
"3","FDN","18","Inspiring Paladin",""
"3","FDN","99","Apothecary Stomper",""
"3","FDN","48","Refute",""
"3","FDN","159","Mocking Sprite",""
"3","FDN","130","Quick-Draw Katana",""
"3","FDN","75","Vampire Soulcaller",""
"3","FDN","98","Ambush Wolf",""
"3","FDN","174","Fake Your Own Death",""
"3","FDN","214","Broken Wings",""
"3","FDN","209","Sure Strike",""
"3","FDN","251","Campus Guide",""
"3","FDN","218","Dwynen's Elite",""
"3","FDN","83","Crackling Cyclops",""
"3","FDN","150","Aegis Turtle",""
"3","FDN","189","Axgard Cavalry",""
"3","FDN","143","Make Your Move",""
"3","FDN","192","Burst Lightning",""
"3","FDN","24","Squad Rallier",""
"3","FDN","59","Crypt Feaster",""
"3","TFDN","3","Human",""
"3","TFDN","22","Food",""
"3","M3C","321","Battlefield Forge",""
"3","NEO","86","Thousand-Faced Shadow",""
"3","NEO","116","Nezumi Prowler",""
"3","NEO","342","Mukotai Ambusher",""
"3","NEO","341","Inkrise Infiltrator",""
"3","NEO","4","Befriending the Moths // Imperial Moth",""
"3","NEO","321","Heiko Yamazaki, the General",""
"3","NEO","162","The Shattered States Era // Nameless Conqueror",""
"3","NEO","347","Fang of Shigeki",""
"3","NEO","12","The Fall of Lord Konda // Fragment of Konda",""
"3","NEO","66","The Modern Age // Vector Glider",""
"3","NEO","310","Imperial Subduer",""
"3","NEO","210","Tales of Master Seshiro // Seshiro's Living Legacy",""
"3","NEO","117","Okiba Reckoner Raid // Nezumi Road Captain",""
"3","TNEO","3","Samurai",""
"3","PIP","319","Island",""
"3","WOE","7","Cheeky House-Mouse // Squeak By","foil"
"2","AFR","258","Hive of the Eye Tyrant",""
"2","AKH","85","Cursed Minotaur",""
"2","BFZ","190","Snapping Gnarlid",""
"2","BLB","232","Seedpod Squire",""
"2","BLB","153","Steampath Charger",""
"2","BLB","168","Clifftop Lookout",""
"2","BLB","46","Dire Downdraft",""
"2","TBLB","25","Otter",""
"2","BLB","131","Coruscation Mage",""
"2","BLB","61","Mockingbird",""
"2","BLB","388","Charmed Sleep",""
"2","BLB","146","Quaketusk Boar",""
"2","BLB","147","Rabid Gnaw",""
"2","BLB","235","Tempest Angler",""
"2","BLB","27","Repel Calamity",""
"2","BLB","212","Finneas, Ace Archer",""
"2","BLB","265","Plains",""
"2","BLB","32","Sonar Strike",""
"2","BLB","21","Mabel's Mettle",""
"2","BLB","160","War Squeak",""
"2","BLB","91","Diresight",""
"2","BLB","198","Three Tree Rootweaver",""
"2","BLB","62","Nightwhorl Hermit",""
"2","PIP","224","Arcane Signet",""
"2","PIP","239","Sol Ring",""
"2","PIP","243","Talisman of Conviction",""
"2","PIP","253","Ash Barrens",""
"2","PIP","259","Command Tower",""
"2","PIP","263","Evolving Wilds",""
"2","PIP","258","Clifftop Retreat",""
"2","PIP","274","Myriad Landscape",""
"2","PIP","279","Path of Ancestry",""
"2","PIP","313","Terramorphic Expanse",""
"2","PIP","321","Swamp",""
"2","PIP","322","Swamp",""
"2","TPIP","4","Soldier",""
"2","TPIP","5","Warrior",""
"2","CLB","459","Swamp",""
"2","CLB","122","Criminal Past",""
"2","CMR","182","Goblin Trailblazer",""
"2","DFT","264","Sunbillow Verge",""
"2","DFT","242","Scrap Compactor",""
"2","DFT","101","Ripclaw Wrangler",""
"2","DFT","37","Voyager Quickwelder",""
"2","DFT","84","Engine Rat",""
"2","DFT","98","Mutant Surveyor",""
"2","TDFT","3","Zombie",""
"2","FDN","194","Etali, Primal Storm",""
"2","FDN","198","Flamewake Phoenix",""
"2","FDN","88","Goblin Negotiation",""
"2","FDN","47","Mischievous Mystic",""
"2","FDN","264","Rogue's Passage",""
"2","FDN","6","Claws Out",""
"2","FDN","265","Rugged Highlands",""
"2","FDN","206","Shivan Dragon",""
"2","FDN","136","Angel of Finality",""
"2","FDN","236","Wildwood Scourge",""
"2","FDN","256","Meteor Golem",""
"2","FDN","125","Wardens of the Cycle",""
"2","FDN","182","Reassembling Skeleton",""
"2","FDN","160","An Offer You Can't Refuse",""
"2","FDN","78","Battlesong Berserker",""
"2","FDN","231","Reclamation Sage",""
"2","FDN","260","Blossoming Sands",""
"2","FDN","146","Savannah Lions",""
"2","FDN","102","Eager Trufflesnout",""
"2","FDN","201","Heartfire Immolator",""
"2","FDN","145","Resolute Reinforcements",""
"2","FDN","229","Nessian Hornbeetle",""
"2","FDN","259","Bloodfell Caves",""
"2","FDN","38","Faebloom Trick",""
"2","FDN","158","Micromancer",""
"2","FDN","110","Quakestrider Ceratops",""
"2","FDN","14","Guarded Heir",""
"2","FDN","261","Dismal Backwater",""
"2","FDN","197","Firespitter Whelp",""
"2","FDN","268","Swiftwater Cliffs",""
"2","FDN","220","Garruk's Uprising",""
"2","FDN","49","Rune-Sealed Wall",""
"2","FDN","188","Abrade",""
"2","FDN","149","Youthful Valkyrie",""
"2","FDN","254","Heraldic Banner",""
"2","FDN","120","Fiendish Panda",""
"2","FDN","68","Sanguine Syphoner","foil"
"2","TFDN","19","Elf Warrior",""
"2","TFDN","9","Faerie",""
"2","TFDN","25","Vivien Reid Emblem",""
"2","TFDN","14","Rat",""
"2","M19","177","Druid of the Cowl",""
"2","M19","312","Grasping Scoundrel",""
"2","M20","159","Scorch Spitter",""
"2","M21","2","Alpine Watchdog",""
"2","MID","32","Search Party Captain",""
"2","NEO","343","Nashi, Moon Sage's Scion",""
"2","NEO","336","Prosperous Thief",""
"2","NEO","353","Silver-Fur Master",""
"2","NEO","234","Satoru Umezawa",""
"2","NEO","236","Silver-Fur Master",""
"2","NEO","73","Prosperous Thief",""
"2","TNEO","17","Treasure",""
"2","NEO","77","Saiba Trespassers","foil"
"2","NEO","299","Mountain",""
"2","NEO","64","Mnemonic Sphere",""
"2","NEO","339","Dokuchi Shadow-Walker",""
"2","NEO","36","Seven-Tail Mentor",""
"2","NEO","346","Coiling Stalker",""
"2","NEO","273","Rugged Highlands",""
"2","NEO","319","Akki Ronin",""
"2","NEO","35","Selfless Samurai",""
"2","NEO","326","Jukai Trainee",""
"2","NEO","69","Moonsnare Prototype",""
"2","NEO","79","Skyswimmer Koi",""
"2","NEO","172","Azusa's Many Journeys // Likeness of the Seeker",""
"2","NEO","46","Armguard Familiar",""
"2","NEO","322","Peerless Samurai",""
"2","NEO","274","Scoured Barrens",""
"2","NEO","324","Upriser Renegade",""
"2","NEO","33","Repel the Vile",""
"2","NEO","218","Enthusiastic Mechanaut",""
"2","NEO","317","Guardians of Oboro",""
"2","NEO","29","Michiko's Reign of Truth // Portrait of Michiko",""
"2","NEO","318","Nezumi Bladeblesser",""
"2","NEO","160","Scrapyard Steelbreaker",""
"2","NEO","126","Undercity Scrounger",""
"2","NEO","48","Behold the Unspeakable // Vision of the Unspeakable",""
"2","NEO","37","Sky-Blessed Samurai",""
"2","NEO","31","Norika Yamazaki, the Poet",""
"2","NEO","315","Sunblade Samurai",""
"2","NEO","152","Kumano Faces Kakkazan // Etching of Kumano",""
"2","NEO","11","Era of Enlightenment // Hand of Enlightenment",""
"2","NEO","280","Tranquil Cove",""
"2","NEO","109","The Long Reach of Night // Animus of Night's Reach",""
"2","NEO","108","Life of Toshiro Umezawa // Memory of Toshiro",""
"2","NEO","246","Ecologist's Terrarium",""
"2","ONE","33","Skrelv, Defector Mite",""
"2","PIP","320","Island",""
"2","TPIP","2","Human Knight",""
"2","TPIP","17","Thopter",""
"2","TPIP","18","Treasure",""
"2","WHO","305","Shipwreck Marsh",""
"2","WOE","2","Archon's Glory",""
"2","ZNR","70","Merfolk Windrobber",""
"2","ZNR","94","Bloodchief's Thirst",""
"1","ACR","102","Plains",""
"1","ACR","14","Become Anonymous",""
"1","ACR","94","Cathartic Reunion",""
"1","ACR","80","Brotherhood Headquarters",""
"1","ACR","50","Bayek of Siwa",""
"1","ACR","145","Ezio, Brash Novice","foil"
"1","ACR","80","Brotherhood Headquarters","foil"
"1","AFC","120","Demanding Dragon",""
"1","AKH","81","Bone Picker",""
"1","AKH","92","Final Reward",""
"1","BBD","73","Pir's Whim",""
"1","BLB","130","Conduct Electricity","foil"
"1","BLB","380","Byrke, Long Ear of the Law","foil"
"1","BLB","229","Pond Prophet","foil"
"1","BLB","191","Scrapshooter",""
"1","BLB","4","Brightblade Stoat",""
"1","BLB","258","Oakhollow Village",""
"1","BLB","17","Intrepid Rabbit",""
"1","BLB","176","High Stride",""
"1","BLB","129","Byway Barterer",""
"1","BLB","65","Plumecreed Escort",""
"1","BLB","157","Teapot Slinger",""
"1","TBLB","27","Food",""
"1","BLB","392","Colossification",""
"1","BLB","171","Fecund Greenshell",""
"1","BLB","101","Moonstone Harbinger",""
"1","BLB","139","Hearthborn Battler",""
"1","BLB","48","Eddymurk Crab",""
"1","BLB","77","Thought Shucker",""
"1","BLB","248","Short Bow",""
"1","BLB","213","Fireglass Mentor",""
"1","BLB","225","Mind Drill Assailant",""
"1","BLB","117","Thornplate Intimidator",""
"1","BLB","115","Starlit Soothsayer",""
"1","BLB","190","Rust-Shield Rampager",""
"1","BLB","128","Brazen Collector",""
"1","BLB","122","Agate Assault",""
"1","BLB","149","Reptilian Recruiter",""
"1","BLB","105","Psychic Whorl",""
"1","BLB","210","Corpseberry Cultivator",""
"1","BLB","261","Uncharted Haven",""
"1","BLB","379","Bria, Riptide Rogue","foil"
"1","BLB","395","Sword of Vengeance",""
"1","BLB","234","Stormcatch Mentor",""
"1","BLB","389","Mind Spring",""
"1","BLB","204","Alania, Divergent Storm",""
"1","BLB","278","Forest",""
"1","BLB","280","Forest",""
"1","BLB","185","Overprotect",""
"1","BLB","8","Crumb and Get It",""
"1","BLB","224","Mabel, Heir to Cragflame",""
"1","BLB","259","Rockface Village",""
"1","TBLB","15","Starscape Cleric",""
"1","TBLB","7","Fish",""
"1","TBLB","20","Bushy Bodyguard",""
"1","BLB","129","Byway Barterer","foil"
"1","BLB","237","Veteran Guardmouse","foil"
"1","BLB","268","Island","foil"
"1","BLB","46","Dire Downdraft","foil"
"1","BLB","7","Carrot Cake","foil"
"1","BLB","162","Wildfire Howl","foil"
"1","BLB","270","Swamp","foil"
"1","BLB","254","Hidden Grotto",""
"1","BLB","229","Pond Prophet",""
"1","BLB","95","Fell",""
"1","BLB","76","Sugar Coat",""
"1","BLB","24","Parting Gust",""
"1","BLB","126","Blooming Blast",""
"1","BLB","262","Plains",""
"1","BLB","110","Scales of Shale",""
"1","BLB","189","Polliwallop",""
"1","BLB","67","Run Away Together",""
"1","BLB","35","Thistledown Players",""
"1","BLB","150","Roughshod Duo",""
"1","BLB","251","Three Tree Mascot",""
"1","BLB","188","Peerless Recycling",""
"1","BLB","125","Blacksmith's Talent",""
"1","BLB","78","Thundertrap Trainer",""
"1","BLB","109","Savor",""
"1","BLB","208","Cindering Cutthroat",""
"1","BLB","92","Downwind Ambusher",""
"1","BLB","19","Jolly Gerbils",""
"1","BLB","87","Consumed by Greed",""
"1","BLB","257","Mudflat Village",""
"1","BLB","187","Pawpatch Recruit",""
"1","BLB","243","Barkform Harvester",""
"1","BLB","250","Tangle Tumbler",""
"1","BLB","173","Galewind Moose",""
"1","BLB","134","Festival of Embers",""
"1","BLB","302","Azure Beastbinder",""
"1","BLB","275","Mountain",""
"1","BLB","23","Nettle Guard",""
"1","BLB","166","Bushy Bodyguard",""
"1","BLB","5","Builder's Talent",""
"1","BLB","238","Vinereap Mentor",""
"1","BLB","174","Hazardroot Herbalist",""
"1","BLB","158","Valley Flamecaller",""
"1","BLB","279","Forest",""
"1","C21","278","Battlefield Forge",""
"1","PIP","1","Caesar, Legion's Emperor","foil"
"1","PIP","7","Mr. House, President and CEO","foil"
"1","PIP","16","Gary Clone",""
"1","PIP","43","Butch DeLoria, Tunnel Snake",""
"1","PIP","124","White Glove Gourmand",""
"1","PIP","130","Charisma Bobblehead",""
"1","PIP","135","Luck Bobblehead",""
"1","PIP","144","Survivor's Med Kit",""
"1","PIP","162","Impassioned Orator",""
"1","PIP","163","Intangible Virtue",""
"1","PIP","182","Bastion of Remembrance",""
"1","PIP","184","Deadly Dispute",""
"1","PIP","186","Morbid Opportunist",""
"1","PIP","187","Pitiless Plunderer",""
"1","PIP","217","General's Enforcer",""
"1","PIP","218","Heroic Reinforcements",""
"1","PIP","222","Wear // Tear",""
"1","PIP","238","Skullclamp",""
"1","PIP","247","Talisman of Hierarchy",""
"1","PIP","248","Talisman of Indulgence",""
"1","PIP","271","Memorial to Glory",""
"1","PIP","9","Aradesh, the Founder",""
"1","PIP","11","Battle of Hoover Dam",""
"1","PIP","19","Overseer of Vault 76",""
"1","PIP","23","Securitron Squadron",""
"1","PIP","48","Ruthless Radrat",""
"1","PIP","100","Craig Boone, Novac Guard",""
"1","PIP","107","Legate Lanius, Caesar's Ace",""
"1","PIP","25","Sierra, Nuka's Biggest Fan",""
"1","PIP","27","Vault 75: Middle School",""
"1","PIP","29","Yes Man, Personal Securitron",""
"1","PIP","50","V.A.T.S.",""
"1","PIP","52","Wasteland Raider",""
"1","PIP","63","Mysterious Stranger",""
"1","PIP","65","Powder Ganger",""
"1","PIP","66","Rose, Cutthroat Raider",""
"1","PIP","68","Thrill-Kill Disciple",""
"1","PIP","71","Wild Wasteland",""
"1","PIP","95","Boomer Scrapper",""
"1","PIP","98","Colonel Autumn",""
"1","PIP","101","Desdemona, Freedom's Edge",""
"1","PIP","102","Elder Arthur Maxson",""
"1","PIP","106","Kellogg, Dangerous Mind",""
"1","PIP","108","MacCready, Lamplight Mayor",""
"1","PIP","113","The Nipton Lottery",""
"1","PIP","114","Paladin Elizabeth Taggerdy",""
"1","PIP","121","Vault 11: Voter's Dilemma",""
"1","PIP","131","ED-E, Lonesome Eyebot",""
"1","PIP","146","Desolate Mire",""
"1","PIP","147","Diamond City",""
"1","PIP","157","Captain of the Watch",""
"1","PIP","160","Entrapment Maneuver",""
"1","PIP","161","Hour of Reckoning",""
"1","PIP","164","Keeper of the Accord",""
"1","PIP","166","Marshal's Anthem",""
"1","PIP","167","Martial Coup",""
"1","PIP","171","Secure the Wastes",""
"1","PIP","183","Black Market",""
"1","PIP","185","Lethal Scheme",""
"1","PIP","192","Stolen Strategy",""
"1","PIP","209","Anguished Unmaking",""
"1","PIP","210","Assemble the Legion",""
"1","PIP","215","Fervent Charge",""
"1","PIP","220","Ruinous Ultimatum",""
"1","PIP","256","Canyon Slough",""
"1","PIP","261","Dragonskull Summit",""
"1","PIP","269","Isolated Chapel",""
"1","PIP","288","Shadowblood Ridge",""
"1","PIP","292","Smoldering Marsh",""
"1","PIP","307","Temple of Malice",""
"1","PIP","310","Temple of Silence",""
"1","PIP","312","Temple of Triumph",""
"1","PIP","315","Windbrisk Heights",""
"1","PIP","277","Nomad Outpost",""
"1","PIP","298","Tainted Field",""
"1","PIP","300","Tainted Peak",""
"1","TPIP","10","Soldier",""
"1","PIP","524","Temple of Silence",""
"1","PIP","432","ED-E, Lonesome Eyebot",""
"1","TCLB","20","Undercity // The Initiative",""
"1","CLB","142","Ravenloft Adventurer",""
"1","CLB","99","Sword Coast Serpent // Capsizing Wave",""
"1","CLB","225","Dread Linnorm // Scale Deflection",""
"1","CLB","110","Ambition's Cost",""
"1","CLB","148","Sivriss, Nightmare Speaker",""
"1","CLB","117","Bonecaller Cleric",""
"1","CLB","293","Rilsa Rael, Kingpin",""
"1","CLB","359","Sea Gate",""
"1","CLB","377","Ellyn Harbreeze, Busybody",""
"1","CLB","182","Ingenious Artillerist",""
"1","CLB","38","Recruitment Drive",""
"1","CLB","177","Genasi Enforcers",""
"1","CLB","340","Trailblazer's Torch",""
"1","CLB","193","Reckless Barbarian",""
"1","CLB","45","Stoneskin",""
"1","CLB","37","Rasaad yn Bashir",""
"1","CLB","43","Slaughter the Strong",""
"1","CLB","255","Skanos Dragonheart",""
"1","CLB","324","Mighty Servant of Leuk-o",""
"1","CLB","465","Mountain",""
"1","CLB","439","Rilsa Rael, Kingpin",""
"1","CLB","75","Gray Harbor Merfolk",""
"1","CLB","95","Sea Hag // Aquatic Ingress",""
"1","CLB","346","Basilisk Gate","foil"
"1","CLB","481","Alora, Merry Thief","foil"
"1","CLB","252","Scaled Nurturer","foil"
"1","CLB","531","Duke Ulder Ravengard","foil"
"1","CMR","174","Dragon Mantle",""
"1","DFT","209","Ketramose, the New Dawn",""
"1","DFT","11","Daring Mechanic",""
"1","DFT","99","Pactdoll Terror",""
"1","DFT","30","Spotcycle Scouter",""
"1","DFT","14","Gloryheath Lynx",""
"1","DFT","32","Swiftwing Assailant",""
"1","DFT","79","Chitin Gravestalker",""
"1","DFT","243","Skybox Ferry",""
"1","DFT","263","Scoured Barrens",""
"1","DFT","78","Carrion Cruiser",""
"1","DFT","244","Starting Column",""
"1","DFT","114","Burner Rocket",""
"1","DFT","258","Night Market",""
"1","DFT","63","Spectral Interference",""
"1","DFT","16","Guidelight Synergist",""
"1","DFT","86","Gastal Raider",""
"1","DFT","246","Walking Sarcophagus",""
"1","DFT","283","Swamp",""
"1","DFT","108","Syphon Fuel",""
"1","DFT","95","Locust Spray",""
"1","DFT","111","Wretched Doll",""
"1","DFT","82","Deathless Pilot",""
"1","DFT","97","Momentum Breaker",""
"1","DFT","255","Foul Roads",""
"1","DFT","44","Glitch Ghost Surveyor",""
"1","DFT","343","Agonasaur Rex",""
"1","DFT","284","Swamp","foil"
"1","DFT","78","Carrion Cruiser","foil"
"1","DFT","103","Risky Shortcut","foil"
"1","DFT","233","Guidelight Matrix",""
"1","DFT","265","Swiftwater Cliffs",""
"1","DFT","62","Slick Imitator",""
"1","TDFT","6","Elephant",""
"1","TDFT","14","Start Your Engines! // Max Speed",""
"1","DMC","103","Odric, Lunarch Marshal",""
"1","DMR","116","Dragon Whelp",""
"1","DMR","24","Savannah Lions",""
"1","DMR","271","Serra Angel",""
"1","DMU","276","Forest",""
"1","DMU","141","Radha's Firebrand",""
"1","DMU","208","Najal, the Storm Runner",""
"1","DMU","85","Braids's Frightful Return",""
"1","DMU","27","Phyrexian Missionary",""
"1","DMU","181","Sunbathing Rootwalla",""
"1","DMU","5","Argivian Phalanx",""
"1","DMU","64","Shore Up",""
"1","DMU","81","Battlefly Swarm",""
"1","DMU","257","Sunlit Marsh",""
"1","DMU","66","Soaring Drake",""
"1","DMU","246","Crystal Grotto",""
"1","DMU","126","Furious Bellow",""
"1","DMU","163","Floriferous Vinewall",""
"1","DMU","148","Thrill of Possibility",""
"1","DMU","262","Plains",""
"1","DMU","91","Drag to the Bottom",""
"1","DMU","309","Queen Allenal of Ruadach",""
"1","DMU","108","Sheoldred's Restoration",""
"1","DMU","33","Shalai's Acolyte",""
"1","DMU","113","Tribute to Urborg",""
"1","DMU","22","Juniper Order Rootweaver",""
"1","DMU","172","Magnigoth Sentry",""
"1","DMU","83","Bone Splinters",""
"1","DMU","240","Vanquisher's Axe",""
"1","DMU","69","Tidepool Turtle",""
"1","DMU","78","Aggressive Sabotage",""
"1","DMU","248","Haunted Mire",""
"1","DMU","138","Meria's Outrider",""
"1","DMU","187","Vineshaper Prodigy",""
"1","TDMU","4","Soldier",""
"1","TDMU","21","Stangg Twin",""
"1","DOM","27","Mesa Unicorn",""
"1","DSC","372","Goryo's Vengeance","foil"
"1","ELD","20","Linden, the Steadfast Queen",""
"1","FDN","285","Island",""
"1","FDN","290","Forest",""
"1","FDN","287","Swamp",""
"1","FDN","286","Swamp",""
"1","FDN","284","Island",""
"1","FDN","313","Refute",""
"1","FDN","40","High Fae Trickster",""
"1","FDN","166","Time Stop",""
"1","FDN","127","Banner of Kinship",""
"1","FDN","204","Krenko, Mob Boss",""
"1","FDN","77","Zul Ashur, Lich Lord",""
"1","FDN","133","Soulstone Sanctuary",""
"1","FDN","219","Elvish Archdruid",""
"1","FDN","107","Mossborn Hydra",""
"1","FDN","248","Thousand-Year Storm",""
"1","FDN","66","Nine-Lives Familiar",""
"1","FDN","193","Drakuseth, Maw of Flames",""
"1","FDN","54","Abyssal Harvester",""
"1","FDN","179","Painful Quandary",""
"1","FDN","41","Homunculus Horde",""
"1","FDN","154","Extravagant Replication",""
"1","FDN","109","Preposterous Proportions",""
"1","FDN","117","Ashroot Animist",""
"1","FDN","2","Arahbo, the First Fang",""
"1","FDN","45","Kiora, the Rising Tide",""
"1","FDN","184","Rune-Scarred Demon",""
"1","FDN","115","Alesha, Who Laughs at Fate",""
"1","FDN","91","Kellan, Planar Trailblazer",""
"1","FDN","190","Brass's Bounty",""
"1","FDN","11","Exemplar of Light",""
"1","FDN","122","Kykar, Zephyr Awakener",""
"1","FDN","93","Searslicer Goblin",""
"1","FDN","129","Leyline Axe",""
"1","FDN","30","Archmage of Runes",""
"1","FDN","116","Anthem of Champions",""
"1","FDN","121","Koma, World-Eater",""
"1","FDN","23","Skyknight Squire",""
"1","FDN","342","Sylvan Scavenging",""
"1","FDN","326","Zul Ashur, Lich Lord",""
"1","FDN","337","Mossborn Hydra",""
"1","FDN","137","Authority of the Consuls",""
"1","FDN","350","Niv-Mizzet, Visionary",""
"1","FDN","134","Ajani, Caller of the Pride",""
"1","FDN","244","Progenitus",""
"1","FDN","81","Chandra, Flameshaper",""
"1","FDN","51","Sphinx of Forgotten Lore",""
"1","FDN","183","Rise of the Dark Realms",""
"1","FDN","67","Revenge of the Rats",""
"1","FDN","233","Snakeskin Veil",""
"1","FDN","249","Adventuring Gear",""
"1","FDN","273","Plains",""
"1","FDN","63","Infernal Vessel",""
"1","FDN","199","Frenzied Goblin",""
"1","FDN","266","Scoured Barrens",""
"1","FDN","241","Heroic Reinforcements",""
"1","FDN","43","Inspiration from Beyond",""
"1","FDN","4","Cat Collector",""
"1","FDN","73","Tragic Banshee",""
"1","FDN","217","Dwynen, Gilt-Leaf Daen",""
"1","FDN","118","Dreadwing Scavenger",""
"1","FDN","164","Spectral Sailor",""
"1","FDN","131","Ravenous Amulet",""
"1","FDN","153","Essence Scatter",""
"1","FDN","171","Diregraf Ghoul",""
"1","FDN","272","Plains",""
"1","FDN","50","Skyship Buccaneer",""
"1","FDN","191","Brazen Scourge",""
"1","FDN","226","Inspiring Call",""
"1","FDN","135","Ajani's Pridemate",""
"1","FDN","84","Dragon Trainer",""
"1","FDN","202","Hidetsugu's Second Rite",""
"1","FDN","144","Mischievous Pup",""
"1","FDN","274","Island",""
"1","FDN","211","Affectionate Indrik",""
"1","FDN","76","Vengeful Bloodwitch",""
"1","FDN","187","Zombify",""
"1","FDN","255","Juggernaut",""
"1","FDN","163","Self-Reflection",""
"1","FDN","79","Boltwave",""
"1","FDN","278","Mountain",""
"1","FDN","151","Aetherize",""
"1","FDN","213","Blanchwood Armor",""
